latitude,longitude,calculated_host_listings_count,room_type_factor,price
40.8124,-73.9347,1.0,1.0,150
40.67125,-73.95782,1.0,1.0,185
40.81309,-73.85514,7.0,0.0,90
40.73695,-73.92376,4.0,0.0,69
40.77687,-73.95173,96.0,1.0,200
40.73031,-73.98666,2.0,1.0,139
40.65136,-73.95974,1.0,0.0,48
40.75896,-73.9956,1.0,1.0,150
40.82314,-73.94245,1.0,0.0,97
40.69307,-73.95254,1.0,0.0,40
40.76356,-73.92102,1.0,1.0,250
40.81816,-73.93932,2.0,0.0,150
40.67595,-73.94132,2.0,1.0,300
40.6348,-74.00304,2.0,0.0,60
40.71363,-73.93615,2.0,2.0,75
40.68929,-73.90484,1.0,0.0,36
40.71085,-74.01801,1.0,1.0,200
40.61529,-73.92567,1.0,1.0,90
40.7467,-73.92076,5.0,0.0,80
40.79682,-73.96282,3.0,0.0,67
40.81709,-73.93866,1.0,1.0,125
40.60742,-74.14388,1.0,0.0,80
40.74606,-73.95765,1.0,1.0,130
40.7854,-73.97532,65.0,1.0,215
40.83212,-73.93054,3.0,0.0,60
40.6501,-73.97985,1.0,1.0,149
40.71241,-73.95354,1.0,0.0,55
40.79553,-73.97388,2.0,1.0,200
40.67702,-73.96261,1.0,1.0,250
40.7645,-73.98862,1.0,0.0,70
40.7071,-73.86482,1.0,0.0,50
40.81032,-73.94331,1.0,1.0,200
40.71984,-73.94303,8.0,1.0,79
40.7048,-73.94294,1.0,0.0,79
40.74738,-74.00134,2.0,1.0,179
40.64053,-73.95785,1.0,1.0,100
40.72328,-73.9843,1.0,0.0,80
40.69122,-73.93495,3.0,0.0,105
40.80974,-73.96034,1.0,0.0,90
40.71942,-73.98605,1.0,1.0,200
40.72807,-73.99925,1.0,0.0,99
40.71817,-73.96401,1.0,1.0,300
40.80449,-73.95687,1.0,0.0,94
40.63334,-74.01784,2.0,0.0,65
40.67244,-73.94426,1.0,1.0,106
40.79324,-73.97489,1.0,1.0,140
40.71724,-74.00446,1.0,1.0,135
40.67738,-73.99723,1.0,1.0,180
40.68813,-73.95773,1.0,1.0,200
40.65134,-73.94309,1.0,0.0,133
40.80927,-73.9427,1.0,0.0,61
40.70789,-73.94811,1.0,1.0,120
40.7165,-73.94842,2.0,1.0,100
40.69471,-73.96633,1.0,0.0,100
40.68409,-73.95402,1.0,1.0,85
40.78563,-73.95396,1.0,1.0,250
40.71111,-73.91689,1.0,0.0,52
40.68218,-73.95355,1.0,0.0,60
40.72275,-73.97598,1.0,1.0,175
40.7132,-74.00942,232.0,1.0,246
40.77133,-73.92119,1.0,1.0,120
40.64801,-73.95623,2.0,1.0,80
40.72329,-73.98486,1.0,0.0,71
40.76327,-73.88655,1.0,1.0,145
40.67595,-73.87964,2.0,0.0,50
40.77167,-73.95735,29.0,1.0,142
40.82008,-73.93863,3.0,0.0,75
40.66723,-73.97607,1.0,1.0,105
40.70372,-74.01002,1.0,2.0,65
40.67527,-73.96604,1.0,1.0,67
40.7698,-73.91157,1.0,0.0,64
40.71936,-73.96181,1.0,0.0,150
